Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Erro,0.0
2,2,Erro,0.0
3,3,Acerto,0.3333
4,4,Acerto,0.5
5,5,Acerto,0.6
6,6,Acerto,0.6667
7,7,Erro,0.5714
8,8,Erro,0.5
9,9,Acerto,0.5556
10,10,Acerto,0.6
11,11,Acerto,0.6364
12,12,Erro,0.5833
13,13,Erro,0.5385
14,14,Acerto,0.5714
15,15,Erro,0.5333
16,16,Acerto,0.5625
17,17,Erro,0.5294
18,18,Acerto,0.5556
19,19,Erro,0.5263
20,20,Erro,0.5
21,21,Erro,0.4762
22,22,Acerto,0.5
23,23,Acerto,0.5217
24,24,Acerto,0.5417
25,25,Acerto,0.56
26,26,Acerto,0.5769
27,27,Acerto,0.5926
28,28,Erro,0.5714
29,29,Acerto,0.5862
30,30,Acerto,0.6
31,31,Acerto,0.6129
32,32,Acerto,0.625
33,33,Acerto,0.6364
34,34,Erro,0.6176
35,35,Erro,0.6
36,36,Erro,0.5833
37,37,Erro,0.5676
38,38,Acerto,0.5789
39,39,Acerto,0.5897
40,40,Acerto,0.6
41,41,Acerto,0.6098
42,42,Acerto,0.619
43,43,Acerto,0.6279
44,44,Acerto,0.6364
45,45,Acerto,0.6444
46,46,Acerto,0.6522
47,47,Acerto,0.6596
48,48,Acerto,0.6667
49,49,Acerto,0.6735
50,50,Acerto,0.68
51,51,Erro,0.6667
52,52,Erro,0.6538
53,53,Acerto,0.6604
54,54,Erro,0.6481
55,55,Erro,0.6364
56,56,Acerto,0.6429
57,57,Acerto,0.6491
58,58,Acerto,0.6552
59,59,Acerto,0.661
60,60,Erro,0.65
61,61,Acerto,0.6557
62,62,Acerto,0.6613
63,63,Erro,0.6508
64,64,Acerto,0.6562
65,65,Erro,0.6462
66,66,Erro,0.6364
67,67,Erro,0.6269
68,68,Acerto,0.6324
69,69,Erro,0.6232
70,70,Acerto,0.6286
71,71,Acerto,0.6338
72,72,Acerto,0.6389
73,73,Erro,0.6301
74,74,Acerto,0.6351
75,75,Acerto,0.64
76,76,Erro,0.6316
77,77,Erro,0.6234
78,78,Acerto,0.6282
79,79,Acerto,0.6329
80,80,Acerto,0.6375
81,81,Acerto,0.642
82,82,Acerto,0.6463
83,83,Acerto,0.6506
84,84,Acerto,0.6548
85,85,Acerto,0.6588
86,86,Acerto,0.6628
87,87,Erro,0.6552
88,88,Acerto,0.6591
89,89,Acerto,0.6629
90,90,Acerto,0.6667
91,91,Acerto,0.6703
92,92,Acerto,0.6739
93,93,Erro,0.6667
94,94,Acerto,0.6702
95,95,Acerto,0.6737
96,96,Acerto,0.6771
97,97,Erro,0.6701
98,98,Acerto,0.6735
99,99,Acerto,0.6768
100,100,Acerto,0.68
101,101,Acerto,0.6832
102,102,Acerto,0.6863
103,103,Acerto,0.6893
104,104,Acerto,0.6923
105,105,Acerto,0.6952
106,106,Acerto,0.6981
107,107,Erro,0.6916
108,108,Acerto,0.6944
109,109,Acerto,0.6972
110,110,Acerto,0.7
111,111,Acerto,0.7027
112,112,Acerto,0.7054
113,113,Acerto,0.708
114,114,Acerto,0.7105
115,115,Acerto,0.713
