Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Acerto,1.0
2,2,Acerto,1.0
3,3,Erro,0.6667
4,4,Erro,0.5
5,5,Erro,0.4
6,6,Acerto,0.5
7,7,Acerto,0.5714
8,8,Erro,0.5
9,9,Erro,0.4444
10,10,Acerto,0.5
11,11,Erro,0.4545
12,12,Acerto,0.5
13,13,Erro,0.4615
14,14,Acerto,0.5
15,15,Erro,0.4667
16,16,Erro,0.4375
17,17,Erro,0.4118
18,18,Acerto,0.4444
19,19,Acerto,0.4737
20,20,Erro,0.45
21,21,Acerto,0.4762
22,22,Erro,0.4545
23,23,Erro,0.4348
24,24,Erro,0.4167
25,25,Acerto,0.44
26,26,Acerto,0.4615
27,27,Acerto,0.4815
28,28,Acerto,0.5
29,29,Acerto,0.5172
30,30,Acerto,0.5333
31,31,Erro,0.5161
32,32,Erro,0.5
33,33,Erro,0.4848
34,34,Acerto,0.5
35,35,Erro,0.4857
36,36,Acerto,0.5
37,37,Erro,0.4865
38,38,Acerto,0.5
39,39,Acerto,0.5128
40,40,Acerto,0.525
41,41,Acerto,0.5366
42,42,Acerto,0.5476
43,43,Erro,0.5349
44,44,Erro,0.5227
45,45,Acerto,0.5333
46,46,Erro,0.5217
47,47,Erro,0.5106
48,48,Erro,0.5
49,49,Acerto,0.5102
50,50,Erro,0.5
51,51,Acerto,0.5098
52,52,Erro,0.5
53,53,Acerto,0.5094
54,54,Erro,0.5
55,55,Erro,0.4909
56,56,Erro,0.4821
57,57,Erro,0.4737
58,58,Erro,0.4655
59,59,Erro,0.4576
60,60,Erro,0.45
61,61,Acerto,0.459
62,62,Erro,0.4516
63,63,Acerto,0.4603
64,64,Acerto,0.4688
65,65,Acerto,0.4769
66,66,Erro,0.4697
67,67,Erro,0.4627
68,68,Acerto,0.4706
69,69,Acerto,0.4783
70,70,Erro,0.4714
71,71,Acerto,0.4789
72,72,Erro,0.4722
73,73,Acerto,0.4795
74,74,Acerto,0.4865
75,75,Erro,0.48
76,76,Erro,0.4737
77,77,Acerto,0.4805
78,78,Acerto,0.4872
79,79,Acerto,0.4937
80,80,Acerto,0.5
81,81,Acerto,0.5062
82,82,Erro,0.5
83,83,Erro,0.494
84,84,Acerto,0.5
85,85,Erro,0.4941
86,86,Acerto,0.5
87,87,Erro,0.4943
88,88,Erro,0.4886
89,89,Erro,0.4831
90,90,Acerto,0.4889
91,91,Erro,0.4835
92,92,Acerto,0.4891
93,93,Erro,0.4839
94,94,Erro,0.4787
95,95,Erro,0.4737
96,96,Acerto,0.4792
97,97,Acerto,0.4845
98,98,Acerto,0.4898
99,99,Acerto,0.4949
100,100,Erro,0.49
101,101,Acerto,0.495
102,102,Acerto,0.5
103,103,Acerto,0.5049
104,104,Erro,0.5
105,105,Erro,0.4952
106,106,Acerto,0.5
107,107,Erro,0.4953
108,108,Acerto,0.5
