Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada
1,1,Acerto,1.0
2,2,Erro,0.5
3,3,Erro,0.3333
4,4,Acerto,0.5
5,5,Erro,0.4
6,6,Acerto,0.5
7,7,Acerto,0.5714
8,8,Erro,0.5
9,9,Erro,0.4444
10,10,Erro,0.4
11,11,Erro,0.3636
12,12,Acerto,0.4167
13,13,Acerto,0.4615
14,14,Erro,0.4286
15,15,Acerto,0.4667
16,16,Erro,0.4375
17,17,Acerto,0.4706
18,18,Erro,0.4444
19,19,Acerto,0.4737
20,20,Acerto,0.5
21,21,Acerto,0.5238
22,22,Acerto,0.5455
23,23,Acerto,0.5652
24,24,Acerto,0.5833
25,25,Acerto,0.6
26,26,Acerto,0.6154
27,27,Acerto,0.6296
28,28,Acerto,0.6429
29,29,Acerto,0.6552
30,30,Acerto,0.6667
31,31,Acerto,0.6774
32,32,Acerto,0.6875
33,33,Acerto,0.697
34,34,Erro,0.6765
35,35,Erro,0.6571
36,36,Acerto,0.6667
37,37,Acerto,0.6757
38,38,Acerto,0.6842
39,39,Acerto,0.6923
40,40,Acerto,0.7
41,41,Acerto,0.7073
42,42,Acerto,0.7143
43,43,Acerto,0.7209
44,44,Acerto,0.7273
45,45,Acerto,0.7333
46,46,Acerto,0.7391
47,47,Erro,0.7234
48,48,Acerto,0.7292
49,49,Erro,0.7143
50,50,Erro,0.7
51,51,Erro,0.6863
52,52,Erro,0.6731
53,53,Acerto,0.6792
54,54,Erro,0.6667
55,55,Acerto,0.6727
56,56,Erro,0.6607
57,57,Erro,0.6491
58,58,Acerto,0.6552
59,59,Erro,0.6441
60,60,Erro,0.6333
61,61,Acerto,0.6393
62,62,Acerto,0.6452
63,63,Erro,0.6349
64,64,Acerto,0.6406
65,65,Erro,0.6308
66,66,Erro,0.6212
67,67,Erro,0.6119
68,68,Acerto,0.6176
69,69,Erro,0.6087
70,70,Erro,0.6
71,71,Acerto,0.6056
72,72,Acerto,0.6111
73,73,Erro,0.6027
74,74,Acerto,0.6081
75,75,Erro,0.6
76,76,Acerto,0.6053
77,77,Erro,0.5974
78,78,Acerto,0.6026
79,79,Acerto,0.6076
80,80,Acerto,0.6125
81,81,Acerto,0.6173
82,82,Acerto,0.622
83,83,Acerto,0.6265
84,84,Acerto,0.631
85,85,Acerto,0.6353
86,86,Acerto,0.6395
87,87,Erro,0.6322
88,88,Acerto,0.6364
89,89,Acerto,0.6404
90,90,Acerto,0.6444
91,91,Erro,0.6374
92,92,Acerto,0.6413
93,93,Erro,0.6344
94,94,Acerto,0.6383
95,95,Acerto,0.6421
96,96,Acerto,0.6458
97,97,Acerto,0.6495
98,98,Acerto,0.6531
99,99,Acerto,0.6566
100,100,Erro,0.65
101,101,Acerto,0.6535
102,102,Acerto,0.6569
103,103,Erro,0.6505
104,104,Acerto,0.6538
105,105,Acerto,0.6571
106,106,Acerto,0.6604
107,107,Acerto,0.6636
108,108,Acerto,0.6667
109,109,Acerto,0.6697
110,110,Acerto,0.6727
111,111,Acerto,0.6757
112,112,Acerto,0.6786
113,113,Acerto,0.6814
114,114,Acerto,0.6842
115,115,Erro,0.6783
116,116,Acerto,0.681
117,117,Erro,0.6752
118,118,Acerto,0.678
119,119,Acerto,0.6807
120,120,Erro,0.675
121,121,Erro,0.6694
122,122,Erro,0.6639
123,123,Acerto,0.6667
124,124,Erro,0.6613
125,125,Acerto,0.664
126,126,Erro,0.6587
127,127,Erro,0.6535
128,128,Acerto,0.6562
129,129,Acerto,0.6589
130,130,Acerto,0.6615
131,131,Erro,0.6565
132,132,Erro,0.6515
133,133,Acerto,0.6541
134,134,Erro,0.6493
135,135,Acerto,0.6519
136,136,Erro,0.6471
137,137,Erro,0.6423
138,138,Acerto,0.6449
139,139,Acerto,0.6475
140,140,Acerto,0.65
141,141,Acerto,0.6525
142,142,Erro,0.6479
143,143,Erro,0.6434
144,144,Acerto,0.6458
145,145,Erro,0.6414
146,146,Acerto,0.6438
147,147,Acerto,0.6463
148,148,Erro,0.6419
149,149,Acerto,0.6443
150,150,Erro,0.64
151,151,Acerto,0.6424
152,152,Acerto,0.6447
153,153,Acerto,0.6471
154,154,Erro,0.6429
155,155,Acerto,0.6452
156,156,Acerto,0.6474
157,157,Erro,0.6433
158,158,Acerto,0.6456
159,159,Acerto,0.6478
160,160,Acerto,0.65
161,161,Acerto,0.6522
162,162,Acerto,0.6543
163,163,Acerto,0.6564
164,164,Acerto,0.6585
165,165,Acerto,0.6606
166,166,Erro,0.6566
167,167,Acerto,0.6587
168,168,Erro,0.6548
169,169,Acerto,0.6568
170,170,Erro,0.6529
171,171,Acerto,0.655
172,172,Erro,0.6512
173,173,Acerto,0.6532
174,174,Acerto,0.6552
175,175,Acerto,0.6571
176,176,Acerto,0.6591
177,177,Acerto,0.661
178,178,Erro,0.6573
179,179,Acerto,0.6592
180,180,Acerto,0.6611
181,181,Erro,0.6575
182,182,Erro,0.6538
183,183,Erro,0.6503
184,184,Erro,0.6467
185,185,Erro,0.6432
186,186,Erro,0.6398
187,187,Acerto,0.6417
188,188,Erro,0.6383
189,189,Acerto,0.6402
