Jogo_Real_n,Amostra_n,Resultado,Acuracia_Acumulada,F1_Score_Acumulado
1,1,Acerto,1.0,1.0
2,2,Erro,0.5,0.3333
3,3,Erro,0.3333,0.1667
4,4,Erro,0.25,0.1
5,5,Erro,0.2,0.0667
6,6,Acerto,0.3333,0.1667
7,7,Acerto,0.4286,0.2571
8,8,Acerto,0.5,0.3333
9,9,Acerto,0.5556,0.3968
10,10,Acerto,0.6,0.45
11,11,Erro,0.5455,0.385
12,12,Acerto,0.5833,0.4298
13,13,Erro,0.5385,0.3769
14,14,Acerto,0.5714,0.4156
15,15,Erro,0.5333,0.371
16,16,Erro,0.5,0.3333
17,17,Acerto,0.5294,0.3665
18,18,Erro,0.5,0.3333
19,19,Acerto,0.5263,0.363
20,20,Acerto,0.55,0.3903
21,21,Erro,0.5238,0.3601
22,22,Acerto,0.5455,0.385
23,23,Acerto,0.5652,0.4082
24,24,Acerto,0.5833,0.4298
25,25,Erro,0.56,0.4021
26,26,Acerto,0.5769,0.4221
27,27,Acerto,0.5926,0.441
28,28,Erro,0.5714,0.4156
29,29,Erro,0.5517,0.3923
30,30,Erro,0.5333,0.371
31,31,Acerto,0.5484,0.3884
32,32,Acerto,0.5625,0.405
33,33,Acerto,0.5758,0.4207
34,34,Acerto,0.5882,0.4357
35,35,Acerto,0.6,0.45
36,36,Erro,0.5833,0.4298
37,37,Erro,0.5676,0.411
38,38,Acerto,0.5789,0.4246
39,39,Acerto,0.5897,0.4376
40,40,Acerto,0.6,0.45
41,41,Acerto,0.6098,0.4619
42,42,Erro,0.5952,0.4442
43,43,Acerto,0.6047,0.4557
44,44,Acerto,0.6136,0.4667
45,45,Acerto,0.6222,0.4773
46,46,Erro,0.6087,0.4606
47,47,Erro,0.5957,0.4448
48,48,Acerto,0.6042,0.4551
49,49,Acerto,0.6122,0.465
50,50,Erro,0.6,0.45
51,51,Acerto,0.6078,0.4596
52,52,Erro,0.5962,0.4453
53,53,Erro,0.5849,0.4317
54,54,Erro,0.5741,0.4187
55,55,Erro,0.5636,0.4063
56,56,Erro,0.5536,0.3945
57,57,Acerto,0.5614,0.4037
58,58,Acerto,0.569,0.4127
59,59,Erro,0.5593,0.4013
60,60,Erro,0.55,0.3903
61,61,Acerto,0.5574,0.399
62,62,Acerto,0.5645,0.4074
63,63,Erro,0.5556,0.3968
64,64,Acerto,0.5625,0.405
65,65,Erro,0.5538,0.3948
66,66,Acerto,0.5606,0.4028
67,67,Erro,0.5522,0.3929
68,68,Erro,0.5441,0.3835
69,69,Erro,0.5362,0.3744
70,70,Acerto,0.5429,0.382
71,71,Erro,0.5352,0.3732
72,72,Acerto,0.5417,0.3806
73,73,Acerto,0.5479,0.3879
74,74,Erro,0.5405,0.3793
75,75,Acerto,0.5467,0.3864
76,76,Acerto,0.5526,0.3934
77,77,Acerto,0.5584,0.4002
78,78,Acerto,0.5641,0.4069
79,79,Erro,0.557,0.3985
80,80,Acerto,0.5625,0.405
81,81,Erro,0.5556,0.3968
82,82,Acerto,0.561,0.4032
83,83,Erro,0.5542,0.3953
84,84,Acerto,0.5595,0.4015
85,85,Erro,0.5529,0.3938
86,86,Acerto,0.5581,0.3999
87,87,Erro,0.5517,0.3923
88,88,Erro,0.5455,0.385
89,89,Acerto,0.5506,0.391
90,90,Erro,0.5444,0.3839
91,91,Erro,0.5385,0.3769
92,92,Acerto,0.5435,0.3827
93,93,Erro,0.5376,0.376
94,94,Erro,0.5319,0.3694
95,95,Acerto,0.5368,0.3751
96,96,Acerto,0.5417,0.3806
97,97,Acerto,0.5464,0.3861
98,98,Erro,0.5408,0.3796
99,99,Acerto,0.5455,0.385
100,100,Erro,0.54,0.3787
101,101,Acerto,0.5446,0.384
102,102,Acerto,0.549,0.3892
103,103,Erro,0.5437,0.383
104,104,Acerto,0.5481,0.3881
105,105,Acerto,0.5524,0.3931
106,106,Acerto,0.5566,0.3981
107,107,Acerto,0.5607,0.4029
108,108,Acerto,0.5648,0.4077
109,109,Erro,0.5596,0.4016
110,110,Erro,0.5545,0.3956
111,111,Acerto,0.5586,0.4004
112,112,Acerto,0.5625,0.405
113,113,Erro,0.5575,0.3991
114,114,Acerto,0.5614,0.4037
115,115,Acerto,0.5652,0.4082
116,116,Erro,0.5603,0.4025
117,117,Acerto,0.5641,0.4069
118,118,Acerto,0.5678,0.4113
119,119,Erro,0.563,0.4056
120,120,Erro,0.5583,0.4001
121,121,Acerto,0.562,0.4044
122,122,Erro,0.5574,0.399
123,123,Erro,0.5528,0.3936
124,124,Acerto,0.5565,0.3979
125,125,Erro,0.552,0.3927
126,126,Erro,0.5476,0.3875
127,127,Erro,0.5433,0.3825
128,128,Acerto,0.5469,0.3867
129,129,Acerto,0.5504,0.3908
130,130,Acerto,0.5538,0.3948
131,131,Acerto,0.5573,0.3988
132,132,Acerto,0.5606,0.4028
133,133,Acerto,0.5639,0.4067
134,134,Acerto,0.5672,0.4105
135,135,Acerto,0.5704,0.4143
136,136,Acerto,0.5735,0.4181
137,137,Acerto,0.5766,0.4218
138,138,Acerto,0.5797,0.4255
139,139,Acerto,0.5827,0.4291
140,140,Acerto,0.5857,0.4327
141,141,Acerto,0.5887,0.4362
142,142,Erro,0.5845,0.4312
143,143,Erro,0.5804,0.4263
144,144,Acerto,0.5833,0.4298
145,145,Acerto,0.5862,0.4333
146,146,Erro,0.5822,0.4285
147,147,Erro,0.5782,0.4237
148,148,Erro,0.5743,0.419
149,149,Acerto,0.5772,0.4224
150,150,Acerto,0.58,0.4258
151,151,Erro,0.5762,0.4212
152,152,Erro,0.5724,0.4167
153,153,Erro,0.5686,0.4123
154,154,Acerto,0.5714,0.4156
155,155,Erro,0.5677,0.4112
156,156,Erro,0.5641,0.4069
157,157,Acerto,0.5669,0.4102
158,158,Acerto,0.5696,0.4134
159,159,Acerto,0.5723,0.4167
160,160,Erro,0.5687,0.4124
161,161,Acerto,0.5714,0.4156
162,162,Erro,0.5679,0.4114
163,163,Acerto,0.5706,0.4145
164,164,Acerto,0.5732,0.4177
165,165,Erro,0.5697,0.4135
166,166,Acerto,0.5723,0.4166
167,167,Acerto,0.5749,0.4197
168,168,Erro,0.5714,0.4156
169,169,Erro,0.568,0.4116
170,170,Acerto,0.5706,0.4146
171,171,Acerto,0.5731,0.4176
172,172,Acerto,0.5756,0.4205
173,173,Acerto,0.578,0.4235
174,174,Acerto,0.5805,0.4264
175,175,Erro,0.5771,0.4224
176,176,Acerto,0.5795,0.4253
177,177,Acerto,0.5819,0.4281
178,178,Acerto,0.5843,0.431
179,179,Erro,0.581,0.427
180,180,Acerto,0.5833,0.4298
181,181,Erro,0.5801,0.426
182,182,Erro,0.5769,0.4221
183,183,Acerto,0.5792,0.4249
184,184,Erro,0.5761,0.4211
185,185,Acerto,0.5784,0.4239
186,186,Erro,0.5753,0.4202
187,187,Erro,0.5722,0.4165
188,188,Acerto,0.5745,0.4192
189,189,Acerto,0.5767,0.4219
190,190,Acerto,0.5789,0.4246
191,191,Erro,0.5759,0.4209
192,192,Acerto,0.5781,0.4236
193,193,Acerto,0.5803,0.4262
194,194,Erro,0.5773,0.4226
195,195,Acerto,0.5795,0.4252
196,196,Acerto,0.5816,0.4278
197,197,Acerto,0.5838,0.4303
198,198,Acerto,0.5859,0.4329
199,199,Acerto,0.5879,0.4354
200,200,Erro,0.585,0.4318
201,201,Acerto,0.5871,0.4343
202,202,Acerto,0.5891,0.4368
203,203,Acerto,0.5911,0.4392
204,204,Acerto,0.5931,0.4417
205,205,Erro,0.5902,0.4382
206,206,Acerto,0.5922,0.4406
207,207,Acerto,0.5942,0.443
208,208,Acerto,0.5962,0.4453
209,209,Acerto,0.5981,0.4477
210,210,Acerto,0.6,0.45
211,211,Acerto,0.6019,0.4523
212,212,Erro,0.5991,0.4489
213,213,Erro,0.5962,0.4454
214,214,Acerto,0.5981,0.4477
215,215,Erro,0.5953,0.4443
216,216,Erro,0.5926,0.441
217,217,Acerto,0.5945,0.4433
218,218,Erro,0.5917,0.44
219,219,Acerto,0.5936,0.4422
220,220,Acerto,0.5955,0.4445
221,221,Acerto,0.5973,0.4467
222,222,Acerto,0.5991,0.4489
223,223,Erro,0.5964,0.4456
224,224,Erro,0.5938,0.4424
225,225,Acerto,0.5956,0.4446
226,226,Erro,0.5929,0.4414
227,227,Erro,0.5903,0.4382
228,228,Erro,0.5877,0.4351
229,229,Acerto,0.5895,0.4373
230,230,Erro,0.587,0.4342
231,231,Acerto,0.5887,0.4363
232,232,Acerto,0.5905,0.4385
233,233,Acerto,0.5923,0.4406
234,234,Erro,0.5897,0.4376
235,235,Acerto,0.5915,0.4397
236,236,Acerto,0.5932,0.4418
237,237,Acerto,0.5949,0.4438
238,238,Acerto,0.5966,0.4459
239,239,Erro,0.5941,0.4429
240,240,Acerto,0.5958,0.4449
241,241,Acerto,0.5975,0.447
242,242,Acerto,0.5992,0.449
243,243,Acerto,0.6008,0.451
244,244,Acerto,0.6025,0.453
245,245,Acerto,0.6041,0.455
246,246,Erro,0.6016,0.452
247,247,Acerto,0.6032,0.454
248,248,Acerto,0.6048,0.4559
249,249,Erro,0.6024,0.4529
250,250,Acerto,0.604,0.4549
251,251,Erro,0.6016,0.4519
252,252,Acerto,0.6032,0.4539
253,253,Acerto,0.6047,0.4558
254,254,Acerto,0.6063,0.4577
255,255,Acerto,0.6078,0.4596
256,256,Erro,0.6055,0.4567
257,257,Acerto,0.607,0.4586
258,258,Erro,0.6047,0.4557
259,259,Acerto,0.6062,0.4575
260,260,Acerto,0.6077,0.4594
261,261,Acerto,0.6092,0.4612
262,262,Acerto,0.6107,0.4631
263,263,Acerto,0.6122,0.4649
264,264,Erro,0.6098,0.462
265,265,Acerto,0.6113,0.4639
266,266,Erro,0.609,0.461
267,267,Acerto,0.6105,0.4628
268,268,Erro,0.6082,0.46
269,269,Acerto,0.6097,0.4618
270,270,Acerto,0.6111,0.4636
271,271,Acerto,0.6125,0.4654
272,272,Acerto,0.614,0.4671
273,273,Erro,0.6117,0.4644
274,274,Acerto,0.6131,0.4661
275,275,Acerto,0.6145,0.4678
276,276,Erro,0.6123,0.4651
277,277,Erro,0.6101,0.4624
278,278,Acerto,0.6115,0.4641
279,279,Acerto,0.6129,0.4658
280,280,Erro,0.6107,0.4631
281,281,Acerto,0.6121,0.4648
282,282,Erro,0.6099,0.4621
283,283,Acerto,0.6113,0.4638
284,284,Acerto,0.6127,0.4655
285,285,Erro,0.6105,0.4629
286,286,Erro,0.6084,0.4603
287,287,Erro,0.6063,0.4577
288,288,Acerto,0.6076,0.4593
289,289,Acerto,0.609,0.461
290,290,Acerto,0.6103,0.4627
291,291,Erro,0.6082,0.4601
292,292,Acerto,0.6096,0.4617
293,293,Acerto,0.6109,0.4634
294,294,Erro,0.6088,0.4608
295,295,Erro,0.6068,0.4583
296,296,Erro,0.6047,0.4558
297,297,Erro,0.6027,0.4533
298,298,Erro,0.6007,0.4508
299,299,Acerto,0.602,0.4524
300,300,Acerto,0.6033,0.4541
301,301,Acerto,0.6047,0.4557
